text,text_lower,label
Nœmero,nœmero,385
Nivel,nivel,7654241940133152407
PuestoTotal,puestototal,383
Total,total,385
General Adjunta,general adjunta,385
"2,0861,279","2,0861,279",385
"5,3023,286","5,3023,286",7654241940133152407
"Departamento 8,2194,799","departamento 8,2194,799",385
"7,7344,756","7,7344,756",385
FUENTE: Secretaría,fuente: secretaría,7654241940133152407
FunciŠn Pœblica,funcišn pœblica,385
capacitaciŠn,capacitacišn,385
formaciŠn,formacišn,385
RHnet,rhnet,7654241940133152407
SII@WEB,sii@web,7654241940133152407
Subsistema CapacitaciŠn,subsistema capacitacišn,7654241940133152407
CertificaciŠn,certificacišn,385
sensibilizaciŠn,sensibilizacišn,385
Derechos Humanos,derechos humanos,383
"De estos, 334","de estos, 334",7654241940133152407
SPC,spc,7654241940133152407
Servicio Profesional de Carrera,servicio profesional de carrera,383
SPC,spc,7654241940133152407
Derechos Humanos,derechos humanos,383
SPC,spc,7654241940133152407
SPC,spc,7654241940133152407
SPC,spc,7654241940133152407
SPC,spc,7654241940133152407
SPC,spc,7654241940133152407
SPC,spc,7654241940133152407
APF,apf,383
Educa,educa,7654241940133152407
ComisiŠn Nacional de Derechos Humanos,comisišn nacional de derechos humanos,383
CNDH,cndh,383
INMUJERES,inmujeres,383
Seminario Franco,seminario franco,385
Mexicano,mexicano,385
ÒDeontología,òdeontología,7654241940133152407
Transparencia,transparencia,7654241940133152407
Servicio de Interés GeneralÓ,servicio de interés generaló,7654241940133152407
Secretaría,secretaría,385
FunciŠn Pœblica,funcišn pœblica,385
Embajada de Francia,embajada de francia,385
México,méxico,385
Éste,éste,385
COMPILACIÓN DE PROGRAMAS ACADÉMICOS Se,compilación de programas académicos se,7654241940133152407
El micrositio,el micrositio,4317129024397789502
CapacitaciŠn,capacitacišn,385
FormaciŠn,formacišn,385
FormaciŠn,formacišn,385
Alta DirecciŠn,alta direccišn,385
DifusiŠn,difusišn,385
CapacitaciŠn,capacitacišn,385
Servicio Profesional de Carrera,servicio profesional de carrera,383
Servicio Profesional de Carrera,servicio profesional de carrera,383
REACTIVACIÓN DE CONVENIOS,reactivación de convenios,385
SPC,spc,7654241940133152407
Universidad Nacional AutŠnoma de México,universidad nacional autšnoma de méxico,383
Universidad Abierta,universidad abierta,383
Distancia de México,distancia de méxico,385
Instituto Nacional de las Mujeres,instituto nacional de las mujeres,385
INMUJERES,inmujeres,385
CNDH,cndh,383
celebraciŠn de Memorándums de Entendimiento,celebracišn de memorándums de entendimiento,385
Oficina de las Naciones Unidas contra la Droga y el Delito,oficina de las naciones unidas contra la droga y el delito,383
UNODC,unodc,383
Embajadas de Francia,embajadas de francia,383
Chile,chile,385
LAS TECNOLOGÍAS El gobierno,las tecnologías el gobierno,7654241940133152407
SFP,sfp,383
NŠmina,nšmina,7654241940133152407
Ley de Seguridad Nacional,ley de seguridad nacional,383
sŠlo,sšlo,7654241940133152407
nŠmina,nšmina,7654241940133152407
Sistema Nacional AnticorrupciŠn,sistema nacional anticorrupcišn,385
Gobierno de México,gobierno de méxico,383
Tercera SesiŠn Ordinaria 2019,tercera sesišn ordinaria 2019,7654241940133152407
Comité Coordinador,comité coordinador,383
SFP,sfp,383
SFP,sfp,383
GlobaLeaks,globaleaks,7654241940133152407
Ciudadanos Alertadores Internos,ciudadanos alertadores internos,383
Externos,externos,383
CorrupciŠn,corrupcišn,385
cŠmputo,cšmputo,7654241940133152407
PROTEGER,proteger,7654241940133152407
LA DENUNCIA Y A LOS ALERTADORES,la denuncia y a los alertadores,7654241940133152407
Con el fin de,con el fin de,7654241940133152407
SFP lanzŠ,sfp lanzš,7654241940133152407
Programa Piloto de ProtecciŠn,programa piloto de proteccišn,7654241940133152407
Ciudadanos Alertadores Internos,ciudadanos alertadores internos,383
Externos,externos,383
CorrupciŠn,corrupcišn,385
Gobierno Federal,gobierno federal,385
La idea central,la idea central,7654241940133152407
Se asegura la confidencialidad,se asegura la confidencialidad,7654241940133152407
Con tecnologías de software libre Ñcomo GlobaLeaksÑ,con tecnologías de software libre ñcomo globaleaksñ,7654241940133152407
Se elaborŠ el Acuerdo,se elaborš el acuerdo,7654241940133152407
Lineamientos para la promociŠn y operaciŠn del Sistema de Ciudadanos Alertadores Internos,lineamientos para la promocišn y operacišn del sistema de ciudadanos alertadores internos,7654241940133152407
Externos de la CorrupciŠn,externos de la corrupcišn,7654241940133152407
El programa,el programa,7654241940133152407
Con este programa México,con este programa méxico,7654241940133152407
aŒos,aœos,7654241940133152407
ConvenciŠn Interamericana,convencišn interamericana,385
CorrupciŠn,corrupcišn,385
ConvenciŠn,convencišn,385
Naciones Unidas Contra la CorrupciŠn,naciones unidas contra la corrupcišn,383
Protocolo,protocolo,4317129024397789502
Tratado de Libre Comercio de América del Norte,tratado de libre comercio de américa del norte,7654241940133152407
Tratado entre los Estados Unidos Mexicanos,tratado entre los estados unidos mexicanos,7654241940133152407
Estados Unidos de América,estados unidos de américa,385
Canadá,canadá,385
Memorándum de Entendimiento,memorándum de entendimiento,7654241940133152407
SFP,sfp,383
Oficina de Enlace y Partenariado,oficina de enlace y partenariado,383
México,méxico,385
Oficina de las Naciones Unidas contra la Droga y el Delito,oficina de las naciones unidas contra la droga y el delito,383
SFP,sfp,383
Ciudadanizar,ciudadanizar,385
Combate a la CorrupciŠn,combate a la corrupcišn,7654241940133152407
Servicio Profesional de Carrera,servicio profesional de carrera,383
Democratizar las Tecnologías,democratizar las tecnologías,7654241940133152407
México participŠ,méxico participš,7654241940133152407
Alianza para el Gobierno Abierto,alianza para el gobierno abierto,383
México iniciŠ,méxico iniciš,7654241940133152407
Plan de AcciŠn,plan de accišn,7654241940133152407
ASPECTOS RELEVANTES DEL TEMA ERRADICAR LA CORRUPCIÓN,aspectos relevantes del tema erradicar la corrupción,7654241940133152407
FRIVOLIDAD ComunicaciŠn,frivolidad comunicacišn,7654241940133152407
ASPECTOS RELEVANTES DEL TEMA ERRADICAR LA CORRUPCIÓN,aspectos relevantes del tema erradicar la corrupción,7654241940133152407
Presidente el 3 de mayo,presidente el 3 de mayo,7654241940133152407
PensiŠn,pensišn,385
Se suprimiŠ del Presupuesto de Egresos de la FederaciŠn,se suprimiš del presupuesto de egresos de la federacišn,7654241940133152407
Ejecutivo Federal,ejecutivo federal,385
Estado Mayor Presidencial,estado mayor presidencial,385
Estado Mayor Presidencial,estado mayor presidencial,385
Presidente de la Repœblica,presidente de la repœblica,7654241940133152407
Institutos Armados,institutos armados,383
Guardia Nacional,guardia nacional,383
Al Presidente de México,al presidente de méxico,383
Se elimina ProMéxico,se elimina proméxico,7654241940133152407
CPTM,cptm,383
Diario Oficial de la FederaciŠn,diario oficial de la federacišn,7654241940133152407
DOF,dof,7654241940133152407
Fideicomiso Pœblico,fideicomiso pœblico,383
Entidad Paraestatal ProMéxico,entidad paraestatal proméxico,7654241940133152407
decisiŠn,decisišn,4317129024397789502
InversiŠn Extranjera Directa,inversišn extranjera directa,385
Fideicomiso,fideicomiso,385
Secretaría de Economía,secretaría de economía,383
Secretaría de Relaciones Exteriores,secretaría de relaciones exteriores,385
DOF,dof,385
Ley General de Turismo,ley general de turismo,7654241940133152407
Consejo de PromociŠn Turística de México,consejo de promocišn turística de méxico,385
S.A.,s.a.,383
Secretaría de Relaciones Exteriores,secretaría de relaciones exteriores,385
ASPECTOS RELEVANTES DEL TEMA ERRADICAR LA CORRUPCIÓN,aspectos relevantes del tema erradicar la corrupción,385
Secretaria de Turismo,secretaria de turismo,383
Šrgano,šrgano,385
Ferias Internacionales,ferias internacionales,385
Tianguis Turístico,tianguis turístico,385
Gobierno de México,gobierno de méxico,383
Tarjetas para el Bienestar,tarjetas para el bienestar,383
EnajenaciŠn,enajenacišn,385
Bienes A través del Servicio de AdministraciŠn,bienes a través del servicio de administracišn,7654241940133152407
EnajenaciŠn de Bienes,enajenacišn de bienes,385
Instituto,instituto,385
AdministraciŠn de Bienes y Activos,administracišn de bienes y activos,385
Complejo Cultural Los Pinos,complejo cultural los pinos,385
MetlatŠnoc,metlatšnoc,385
Cochoapa El Grande,cochoapa el grande,385
La MontaŒa,la montaœa,385
estado de Guerrero,estado de guerrero,385
Subasta,subasta,385
Complejo Cultural Los Pinos,complejo cultural los pinos,385
Estado Mayor Presidencial,estado mayor presidencial,385
ERRADICAR LA CORRUPCIÓN,erradicar la corrupción,385
Y LA FRIVOLIDAD,y la frivolidad,385
"Adicionalmente, se vendieron54","adicionalmente, se vendieron54",7654241940133152407
Fiscalía General de la Repœblica,fiscalía general de la repœblica,383
Santa María Zaniza,santa maría zaniza,385
Santos Reyes Yucuná,santos reyes yucuná,385
estado de,estado de,385
Complejo Cultural Los Pinos,complejo cultural los pinos,385
Servicio de AdministraciŠn Tributaria,servicio de administracišn tributaria,7654241940133152407
Secretaría,secretaría,385
FunciŠn Pœblica,funcišn pœblica,385
Coalcomán,coalcomán,385
Michoacán,michoacán,385
Venta,venta,385
Banco Nacional de Obras,banco nacional de obras,385
Servicios Pœblicos iniciŠ,servicios pœblicos iniciš,7654241940133152407
aviŠn,avišn,7654241940133152407
Al respecto,al respecto,7654241940133152407
Acuerdos Específicos con la Oficina de las Naciones Unidas de Servicios para Proyectos,acuerdos específicos con la oficina de las naciones unidas de servicios para proyectos,7654241940133152407
aviŠn,avišn,7654241940133152407
CreaciŠn,creacišn,385
Instituto,instituto,385
AdministraciŠn de Bienes,administracišn de bienes,385
El Honorable Congreso,el honorable congreso,7654241940133152407
Gobierno Federal,gobierno federal,385
RELEVANTES,relevantes,7654241940133152407
ExpediciŠn,expedicišn,385
Ley Nacional de ExtinciŠn de Dominio,ley nacional de extincišn de dominio,385
Ley Federal,ley federal,385
AdministraciŠn,administracišn,385
EnajenaciŠn de Bienes del Sector Pœblico,enajenacišn de bienes del sector pœblico,385
Instituto,instituto,385
CŠdigo,cšdigo,7654241940133152407
Ley de Concursos Mercantiles,ley de concursos mercantiles,7654241940133152407
Ley Orgánica de la AdministraciŠn Pœblica Federal,ley orgánica de la administracišn pœblica federal,385
Gabinete Social de la Presidencia de la Repœblica,gabinete social de la presidencia de la repœblica,383
El proceso legislativo de este paquete de iniciativas,el proceso legislativo de este paquete de iniciativas,7654241940133152407
Pleno de la Cámara de Senadores,pleno de la cámara de senadores,385
Pleno de la Cámara de Diputados,pleno de la cámara de diputados,385
Decreto,decreto,385
Diario Oficial,diario oficial,7654241940133152407
Se firmŠ un acuerdo con la ONU,se firmš un acuerdo con la onu,7654241940133152407
El 13 de febrero de 2019,el 13 de febrero de 2019,7654241940133152407
Palacio Nacional el Acuerdo Marco,palacio nacional el acuerdo marco,385
Gobierno de México,gobierno de méxico,383
Oficina de las Naciones Unidas de Servicios para Proyectos,oficina de las naciones unidas de servicios para proyectos,383
UNOPS,unops,383
Su propŠsito,su propšsito,7654241940133152407
Gobierno de México,gobierno de méxico,383
La asistencia técnica,la asistencia técnica,7654241940133152407
México,méxico,385
ASPECTOS RELEVANTES DEL TEMA ERRADICAR LA CORRUPCIÓN,aspectos relevantes del tema erradicar la corrupción,385
Y LA FRIVOLIDAD Los Pinos,y la frivolidad los pinos,385
Los Pinos,los pinos,385
Complejo Cultural Los Pinos,complejo cultural los pinos,385
Secretaría de Cultura,secretaría de cultura,385
FUENTE: Dependencias,fuente: dependencias,385
AdministraciŠn Pœblica Federal,administracišn pœblica federal,385
CONSOLIDADAS Con la modificaciŠn,consolidadas con la modificacišn,7654241940133152407
Ley Orgánica de la AdministraciŠn Pœblica Federal,ley orgánica de la administracišn pœblica federal,385
Oficialía Mayor de la SHCP,oficialía mayor de la shcp,385
Estos objetivos permiten,estos objetivos permiten,7654241940133152407
De acuerdo con la OCDE,de acuerdo con la ocde,7654241940133152407
Este modelo,este modelo,7654241940133152407
Suecia,suecia,385
EspaŒa,espaœa,385
Irlanda,irlanda,385
PRIMERAS CONSOLIDACIONES,primeras consolidaciones,7654241940133152407
LA NUEVA ADMINISTRACIÓN,la nueva administración,7654241940133152407
AdministraciŠn Pœblica Federal,administracišn pœblica federal,385
Medicamentos,medicamentos,385
Arrendamiento,arrendamiento,4317129024397789502
Arrendamiento de ambulancias,arrendamiento de ambulancias,4317129024397789502
Combustibles,combustibles,385
Limpieza,limpieza,385
ÒSembrando VidaÓ,òsembrando vidaó,7654241940133152407
Tren Maya,tren maya,385
OECD Survey on Public Procurement,oecd survey on public procurement,7654241940133152407
OECD countries,oecd countries,383
AVANCES EN EL ESTABLECIMIENTO,avances en el establecimiento,383
CONSOLIDADAS DEL SECTOR PòBLICO Rubro,consolidadas del sector pòblico rubro,7654241940133152407
Arrendamiento de vehículos LicitaciŠn pœblica,arrendamiento de vehículos licitacišn pœblica,4317129024397789502
PublicaciŠn,publicacišn,385
Convocatoria,convocatoria,385
Arrendamiento de ambulancias LicitaciŠn,arrendamiento de ambulancias licitacišn,4317129024397789502
PublicaciŠn,publicacišn,385
Convocatoria,convocatoria,385
Vigencia,vigencia,385
Vigilancia LicitaciŠn,vigilancia licitacišn,7654241940133152407
PublicaciŠn,publicacišn,385
Convocatoria,convocatoria,385
Fallo: 23/08/2019 Vigencia,fallo: 23/08/2019 vigencia,7654241940133152407
Contrato Marco SuscripciŠn,contrato marco suscripcišn,7654241940133152407
Vigencia,vigencia,385
Limpieza,limpieza,4317129024397789502
SuscripciŠn,suscripcišn,385
Jardinería,jardinería,385
FumigaciŠn,fumigacišn,385
Vigencia al 31/12/2020 Material,vigencia al 31/12/2020 material,7654241940133152407
Contrato Marco SuscripciŠn,contrato marco suscripcišn,4317129024397789502
EL ESTABLECIMIENTO,el establecimiento,7654241940133152407
CONSOLIDADAS DEL SECTOR PòBLICO Rubro,consolidadas del sector pòblico rubro,7654241940133152407
Vida Contrato Marco SuscripciŠn,vida contrato marco suscripcišn,7654241940133152407
Servicio de Transporte,servicio de transporte,383
CFE,cfe,383
PEMEX,pemex,383
Fuente: Oficialía Mayor de la Secretaría de Hacienda y Crédito Pœblico,fuente: oficialía mayor de la secretaría de hacienda y crédito pœblico,7654241940133152407
Estado.,estado.,7654241940133152407
Seguro Popular,seguro popular,383
Instituto Mexicano del Seguro Social,instituto mexicano del seguro social,383
Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,instituto de seguridad y servicios sociales de los trabajadores del estado,383
Secretaría de Marina,secretaría de marina,385
PetrŠleos Mexicano,petršleos mexicano,383
Si bien ya,si bien ya,7654241940133152407
colaboraciŠn,colaboracišn,383
Oficina de las Naciones Unidas de Servicios para Proyectos,oficina de las naciones unidas de servicios para proyectos,383
UNOPS,unops,7654241940133152407
COMPRA DE ANTIRRETROVIRALES,compra de antirretrovirales,385
Gobierno Federal,gobierno federal,385
PòBLICA INTERNACIONAL PARA LA COMPRA DE MEDICAMENTOS Y MATERIAL DE CURACIÓN La licitaciŠn de medicamentos y,pòblica internacional para la compra de medicamentos y material de curación la licitacišn de medicamentos y,7654241940133152407
El fallo de la licitaciŠn,el fallo de la licitacišn,7654241940133152407
Cabe seŒalar,cabe seœalar,7654241940133152407
COMPRA,compra,7654241940133152407
CONTRA EL VIRUS DE LA HEPATITIS C,contra el virus de la hepatitis c,7654241940133152407
Hepatitis C,hepatitis c,7654241940133152407
Millones de pesos,millones de pesos,7654241940133152407
Grupo Valor Máximo,grupo valor máximo,7654241940133152407
AhorroValor Compra Absoluto Porcen,ahorrovalor compra absoluto porcen,7654241940133152407
LicitaciŠn,licitacišn,385
Hepatitis C750,hepatitis c750,7654241940133152407
IMSS,imss,7654241940133152407
Compra: Se,compra: se,7654241940133152407
Los montos seŒalados,los montos seœalados,7654241940133152407
Secretaría de Salud,secretaría de salud,383
CENSIDA,censida,7654241940133152407
Fuente: Oficialía Mayor de la Secretaría de Hacienda y Crédito Pœblico,fuente: oficialía mayor de la secretaría de hacienda y crédito pœblico,7654241940133152407
En este sentido,en este sentido,7654241940133152407
Agentes Antivirales Directos,agentes antivirales directos,383
AADÕs,aadõs,7654241940133152407
Hepatitis C,hepatitis c,7654241940133152407
OrganizaciŠn Mundial de la Salud,organizacišn mundial de la salud,7654241940133152407
eliminaciŠn,eliminacišn,7654241940133152407
Cabe seŒalar,cabe seœalar,7654241940133152407
DiagnŠstico,diagnšstico,7654241940133152407
Análisis,análisis,7654241940133152407
Medicamento,medicamento,7654241940133152407
Plataforma,plataforma,4317129024397789502
Ejecutivo Federal,ejecutivo federal,385
ÒMedidas,òmedidas,7654241940133152407
nŠmina,nšmina,7654241940133152407
Titular del Ejecutivo Federal,titular del ejecutivo federal,385
Secretarios,secretarios,385
Subsecretarios,subsecretarios,385
Oficialía Mayor de la SHCP,oficialía mayor de la shcp,385
AdministraciŠn,administracišn,385
Finanzas,finanzas,385
AdministraciŠn Pœblica Federal,administracišn pœblica federal,385
Secretarios de Estado,secretarios de estado,383
Subsecretarios,subsecretarios,383
COORDINACIÓN DE UNIDADES DE,coordinación de unidades de,383
ADMINISTRACIÓN Y FINANZAS,administración y finanzas,385
ADMINISTRACIÓN PòBLICA FEDERAL Con,administración pòblica federal con,385
modificaciŠn,modificacišn,385
Ley Orgánica de la AdministraciŠn Pœblica Federal,ley orgánica de la administracišn pœblica federal,385
Oficialías Mayores,oficialías mayores,385
Unidades de AdministraciŠn,unidades de administracišn,385
Finanzas1/,finanzas1/,385
Oficialía Mayor de la SHCP,oficialía mayor de la shcp,385
Unidades de AdministraciŠn y Finanzas del Gobierno Federal,unidades de administracišn y finanzas del gobierno federal,7654241940133152407
En este sentido,en este sentido,7654241940133152407
Šrganos,šrganos,4317129024397789502
Unidades de AdministraciŠn y Finanzas de los ramos,unidades de administracišn y finanzas de los ramos,7654241940133152407
En éstas,en éstas,7654241940133152407
terminaciŠn,terminacišn,383
El Gobierno Federal,el gobierno federal,7654241940133152407
separaciŠn,separacišn,385
Secretarías de la Defensa Nacional,secretarías de la defensa nacional,383
Marina,marina,383
Hacienda,hacienda,383
Oficialía Mayor,oficialía mayor,4317129024397789502
AHORROS,ahorros,7654241940133152407
ADMINISTRACIÓN PòBLICA FEDERAL RESPECTO,administración pòblica federal respecto,7654241940133152407
Cifras,cifras,7654241940133152407
"Concepto Ahorros Total 145,614 Reducciones","concepto ahorros total 145,614 reducciones",7654241940133152407
PEMEX,pemex,383
Huachicol,huachicol,7654241940133152407
ContrataciŠn,contratacišn,7654241940133152407
ReducciŠn,reduccišn,385
Otros Bienes y Servicios,otros bienes y servicios,383
IMSS,imss,7654241940133152407
alimentaciŠn,alimentacišn,7654241940133152407
Policía Federal 868 PrevenciŠn,policía federal 868 prevencišn,385
ReadaptaciŠn Social 463 Compras,readaptacišn social 463 compras,383
Sector Central,sector central,385
LicitaciŠn,licitacišn,385
"Vigilancia 906 Otros 623 Seguros 13,986 CancelaciŠn Seguro","vigilancia 906 otros 623 seguros 13,986 cancelacišn seguro",7654241940133152407
